Date,Achieva 1.5T,Achieva 3.0T,Intera 1.5T Master/Nova,Intera 1.5T Power/Pulsar,Panorama HFO
1/1/2011,694750.86,1251529.42,627751.92,363252.94,67790.48
2/1/2011,830388.19,1131178.82,614187.52,500686.38,58433.14
3/1/2011,920096.30,1337401.83,630570.23,475083.33,126038.22
4/1/2011,908383.72,1159361.16,670915.77,369525.59,321537.27
5/1/2011,1081385.25,1420828.12,601556.70,605482.16,273454.19
6/1/2011,1312931.61,1109942.61,618899.89,584749.82,287861.65
7/1/2011,1387679.51,1052038.15,883226.72,656858.29,284529.05
8/1/2011,1112287.25,1500701.91,797627.04,521400.00,221164.34
9/1/2011,1569087.90,1233868.42,843044.51,574636.86,319945.29
10/1/2011,1615981.68,1095210.76,632721.11,618178.21,238018.66
11/1/2011,1632453.85,1604525.67,642823.18,669185.19,309230.36
12/1/2011,1693372.77,1293162.53,749002.74,456327.32,238561.18
1/1/2012,1615208.67,1317934.38,714646.50,538345.55,261147.25
2/1/2012,1765896.76,1498079.40,784252.49,486708.44,246862.07
3/1/2012,1820215.23,1711675.83,1006777.74,523965.06,371294.34
4/1/2012,2145291.55,1515667.70,728486.55,487718.88,322479.12
5/1/2012,1697498.96,1560867.80,893252.17,827557.03,354844.02
6/1/2012,1612584.22,1569549.12,916986.69,573770.91,384743.97
7/1/2012,1971713.41,1549288.38,930815.40,522357.65,433404.51
8/1/2012,2074024.08,1723744.22,883018.68,629816.27,418053.91
9/1/2012,1676827.39,1658628.98,764796.32,760032.18,376356.73
10/1/2012,2107912.00,1888180.15,907758.97,720818.26,432795.95
11/1/2012,1934399.63,1633642.08,886207.68,538097.47,427716.42
12/1/2012,2121718.17,1393834.04,655767.18,469714.12,342691.06
1/1/2013,1947939.54,1541633.69,862899.65,487613.58,335357.47
2/1/2013,1733494.95,1650011.22,680243.58,440895.50,317995.18
3/1/2013,2161652.23,1521788.79,705296.70,547833.14,380520.46
4/1/2013,1920118.57,1541817.69,877301.64,622428.92,385539.37
5/1/2013,1765748.25,1582819.10,814451.76,657592.53,510822.95
6/1/2013,1743007.33,1296282.09,630763.16,597162.24,383285.41
7/1/2013,1669260.69,1365910.81,677792.16,467190.42,239324.44
8/1/2013,919402.20,1118470.12,468169.10,233257.72,61852.45
9/1/2013,917910.99,849857.83,607527.75,190512.64,70219.76
10/1/2013,1244855.46,1126649.44,361178.23,311787.98,87807.48
11/1/2013,1343347.53,1072660.14,497449.61,236805.18,94468.41
12/1/2013,1479321.12,1173108.87,358620.86,288667.44,104287.84
1/1/2014,1376538.83,964300.83,376284.26,219643.92,142810.69
2/1/2014,1173813.65,768886.51,400549.75,239815.48,54825.24
3/1/2014,863043.39,1039162.08,302989.06,183864.95,44341.43
4/1/2014,789702.81,727205.72,264697.69,221461.55,50634.43
5/1/2014,718816.93,621952.46,196485.25,125235.42,52989.71
